Industries,Rank Score (MSEDF),Name of Company,Investors,Maturity,Private equity,Valuation/MktCap,Area,Website,Rank
Gene therapy,8. 8. 5. 6. 8,uniQure (QURE),Forbion Capital Partners ,,$58M,$171M,Gene therapy platform. first approved gene therapeutic. Amsterdam-based,,
Gene therapy,7. 8. 5. 4. 5,Adverum (Avalanche),Adage Capital Management. Deerfield. Redmile Group. Rock Springs Capital. Sabby Capital. Venrock,,,$143.59M,,,
Gene therapy,8. 7. 6. 4. 6,Spark Therapeutics,Brookside Capital. Deerfield. Rock Springs Capital. Sofinnova V. Children's Hospital of Philadelphia. T. Rowe Price. Wellington Management,,,$1.67B,Gene therapy development,http://www.sparktx.com/,
Gene therapy,,Genzyme,,,,$18.4B,,,
Gene therapy,,BioMarin,,,,$14.22B,,,
Gene therapy,7. 8. 5. 7. 6,Precision Biosciences,Amgen V. Baxter V. FPrime Capital Partners. Osage university partners. venBio partners. Ziegler,,,,Gene editing platform similar to CRISPR,,
Gene therapy,7. 6. 3. 10. 0,Telocyte*,N/A,Seed. preclinical,,,AAV-TERT for AD. excellent team,http://www.telocyte.com/,
Biologics / small molecules,7. 8. 6. 10. 7,Unity Biotechnology,VenRock. Arch Venture Partners. Mayo Clinic. WuXi Apptec,Series A. preclinical,Undisclosed,,Senolytics,,
Biologics / small molecules,6. 8. 7. 5. 5,Alexo Therapeutics,Lonevity Fund. Lightstone V. Venbio Partners. Stanford,Series A. preclinical,$36M,,immune oncology (Irv Weissman),,
Biologics / small molecules,5. 8. 4. 8. 5,Alkahest*,Grifols. Stanford,Series A. preclinical,$37.5M,$83.3M,Parabiosis blood factors,,
Biologics / small molecules,,AxoGen (AXGN),Accuitive medical V. Cardinal P. DeNovo V. Springboard Capital,IPO,,$286.12M,Peripheral nerve damage,,
Biologics / small molecules,5. 8. 5. 8. 2,Elysium Health*,MIT,Seed,Undisclosed,,Sirtuin activating nutraceuticals,,
Biologics / small molecules,4. 7. 6. 8. 6,Cohbar (COB.U)*,Undisclosed,IPO,$450k,$71M,Mitochondrial peptides for aging,,
Biologics / small molecules,6. 7. 4. 5. 6,Proteostasis Therapeutics (PTI),Sanofi-Genzyme V. Rock Springs Capital. Novartis V Fund. New Enterprise Associates. HealthCare Ventures. F-Prime Capital Partners. Cormorant Asset Management,IPO. phase I,$107.62M,$314M,Small molecules to modulate proteostasis network. lead cadidate for cystic fibrosis,,
Biologics / small molecules,4. 7. 5. 7. 3,Longevity Biotech*,Thiel Foundation,Seed. preclinical,$520k,,synthetic peptide spinout for neuroprotection and diabetes,,
Biologics / small molecules,6. 8. 5. 6. 7,Prana Biotechnology (PRAN),,IPO. phase I,,$32M,Neurodegeneration. small molecules. anti-aggregation ,,
Biologics / small molecules,5. 7. 4. 5. 7,Geron,,IPO. phase III,,$348M,TERT inhibitor for cancer. Exclusive license with Janssen,,
Biologics / small molecules,7. 7. 5. 7. 4,Chronos Therapeutics*,Oxford. Vulpes LS Fund. Otey Asset Management,Series B. phase II,$12.12M,,Oxford spinout focused on CNS. ALS phase II,,
Biologics / small molecules,7. 6. 4. 5. 4,Sibelius Ltd*,Oxford spinout,Series A,,,Aging-focused natural products drug discovery. partnered with Chronos Therapeutics,http://www.sibeliusnaturalproducts.com/,
Biologics / small molecules,6. 6. 7. 8. 4,Delos Pharmaceuticals,Buck Institute,,,,Rapalogs/polyketides,,
Biologics / small molecules,,ChromaDex (CDXC),Public equity,IPO,,$110M,Lead manufacturer of pterostilbene and NAD,,
Biologics / small molecules,4. 6. 3. 7. 2,Biomarker Pharmaceuticals,,,,,,,
Biologics / small molecules,6. 7. 6. 8. 7,Navitor Pharmaceuticals,MIT. Polaris V. J&J Innovation. Atlas V. SRone. The Longevity Fund. Brace Pharma Capital. Remiditex Ventures. Sanofi-Genzyme Bioventures. David Sabatini,Series A,$23.5M,,mTOR pathway. rapalogs,,
Biologics / small molecules,4. 5. 4. 6. 2,Ichor Therapeutics,Life Extension Foundation. SENS Foundation,Series A,$4.2M,,Macular degeneration. leukemia. lysosomal storage disorders,,
Biologics / small molecules,3. 4. 5. 8. 1,Oisin Biotechnologies,,,,,Senolytics,,
Biologics / small molecules,7. 5. 3. 8. 7,Samumed,Family offices. SWFs. Vickers V Ps. Bjorn Konig (IKEA Group),Clinical,,$12B,Osman Kibar. osteoarthritis. Wnt signaling. androgenic alopecia. other age related diseases,,
In silico/Pharm,9. 10. 6. 8. 10,Calico,Alphabet/Google,Preclinical,,,Aging. Partnered with AbbVie,,
In silico,4. 7. 5. 8. 1,Insilico Medicine,DKLS,Seed. preclinical,,,Drug discovery and repurposing using deep learning,,
In silico,7. 8. 4. 8. 7,Human Longevity Inc.,Bryan Johnson. Celgene. Daniel Curran. Draper Fisher Jurvetson. GE Vs. Illumina. Synthetic Genomics. Tan Thay,Preclinical,,,,,
In silico,3. 5. 3. 6. 2,Pathway Pharmaceuticals,DKLS,Preclinical,,,AI drug repurposing. focus on oncology,,
In silico,4. 5. 4. 5. 4,Atomwise,,,,,AI for drug discovery,,
Stem cells,2. 3. 4. 5. 2,Vericel,Eastern Capital,,,$55.88M,,,
Stem cells,3. 3. 4. 3. 5,Athersys,Aspire Capital P LLC. First Analysis. Piper Jaffray Private Capital Group. William Blair,,,$168.41M,,,
Stem cells,4. 6. 6. 7. 5,BioTime,,,,$366.01M,Mike West. stem cells,,
Stem cells,,Avita Medical,,,,$53.3M,,,
Stem cells,6. 6. 5. 7. 8,Celladon,Domain Associates. Enterprise Ps. GBS V. HBM Healthcare investments AG. InterWest P. Johnson & Johnson development corp. . Kleiner Perkins Caufield & Byers. Lundbeckfond V. MPM Capital. Novartis V Fund. Perceptive advisors. Pfizer V investments. RA Capital management. Sabby management. Venrock,,,,,,
Stem cells,5. 6. 4. 7. 4,Mesoblast,Australian Govt,,,$334.4M,,,
Stem cells,7. 8. 5. 8. 8,Cytori,GE Capital. Oxford Finance Corp.. Silicon Valley Bank,,,$39.56M,,,
Stem cells,5. 4. 4. 3. 2,Pluristem,,,,$111.01M,Stem cell disease therapy,,
Stem cells,4. 5. 5. 7. 7,Osiris Therapeutics (OSIR),Public Equity,,,$144.21M,,,
Stem cells,4. 8. 6. 8. 2,Novosang,,Preclinical,,,iPSCs to generate blood cells for transfusion,,
